0;7172.413011907759
1;4057.46292370212
2;3219.67757607737
3;2804.7177915511547
4;2563.7614509828613
5;2366.371310326359
6;2242.7162290511596
7;2126.977247668851
8;2042.5877736737657
9;1943.8718816941791
10;1889.0078254945836
11;1831.9487887474795
12;1779.6596608807959
13;1735.2142802576861
14;1706.0361426568809
15;1651.5855693201881
16;1619.1759938886091
17;1597.813354098411
18;1561.3721770255795
19;1533.9934668756302
20;1500.6656116116433
21;1486.0677982453378
22;1454.8999031312999
23;1432.2600995463706
24;1417.528166346396
25;1398.8763620684226
26;1380.2553561302927
27;1355.4073541456653
28;1340.818204621346
29;1328.0022189232614
30;1314.8415204448086
31;1289.043530273437
32;1277.3642853767637
33;1248.8536932176146
34;1252.951050198464
35;1240.3203211630544
36;1233.1600641066022
37;1209.039346018145
38;1214.6946997857867
39;1197.8529489824837
40;1180.6849609374992
41;1173.4549733807962
42;1160.0140085527978
43;1154.9065031974546
44;1140.0419234737285
45;1126.773875378024
46;1120.488579731603
47;1110.169836425781
48;1101.1649577479207
49;1092.8015091434609
50;1083.7871721821443
51;1082.8879880843629
52;1073.131939894154
53;1066.3780543173523
54;1065.138961890436
55;1051.4586215111528
56;1047.5953258883574
57;1041.2706261419478
58;1034.0571031139739
59;1029.5746969899822
60;1015.7542397775956
61;1013.8280661306085
62;1006.2060426773565
63;993.8927289409019
64;994.2039596065398
65;983.7922016759072
66;988.5297892908901
67;980.0606827274445
68;974.4206052718619
69;962.5156811129665
70;965.7734408470891
71;954.7010659494708
72;951.4476070280996
73;953.0407582929059
74;938.7596829322077
75;942.040909896358
76;933.8875807239165
77;929.5351749543214
78;928.6163725822196
